link,title,addr,dientich,bedroom,bathroom,price,day
https://mogi.vn/quan-hai-chau/mua-dat-tho-cu/ban-dat-161m2-k-le-hong-phong-trung-tam-tp-da-nang-7-95ti-id22624081,">>Bán đất 161m2 K/Lê Hồng Phong,trung tâm TP Đà Nẵng <<< 7.95Ti","Quận Hải Châu, Đà Nẵng",161 m2,0 PN,0 WC,7 tỷ 949 triệu,Hôm nay
https://mogi.vn/quan-ngu-hanh-son/mua-nha-mat-tien-pho/h0t-ban-nha-98m2-duong-pham-khiem-ich-khue-my-ngu-hanh-son-4-59t-id22626079,"H0T_Bán nhà 98m2 Đường Phạm Khiêm Ích , Khuê Mỹ, Ngũ Hành Sơn_4.59T","Quận Ngũ Hành Sơn, Đà Nẵng",98 m2,2 PN,1 WC,4 tỷ 590 triệu,Hôm nay
https://mogi.vn/quan-ngu-hanh-son/mua-dat-tho-cu/ban-dat-85m2-duong-my-da-tay-10-khu-nam-viet-a-ngu-hanh-son-3-45-id22630658,"Bán đất 85m2 đường mỹ đa tây 10 - khu Nam Việt Á ,Ngũ Hành Sơn_3.45","Quận Ngũ Hành Sơn, Đà Nẵng",85 m2,0 PN,0 WC,3 tỷ 450 triệu,Hôm nay
https://mogi.vn/quan-hai-chau/mua-nha-mat-tien-pho/h0t-ban-nha-4-tang-mt-duong-le-thanh-nghi-hoa-cuong-bac-hai-chau-11-9-id22628840,"H0T_Bán nhà 4 tầng MT Đường  Lê Thanh Nghị,Hòa Cường Bắc,Hải Châu_11.9","Quận Hải Châu, Đà Nẵng",87 m2,5 PN,6 WC,11 tỷ 900 triệu,Hôm nay
https://mogi.vn/quan-hai-chau/mua-nha-hem-ngo/hiem-ban-nha-71m2-k-nguyen-du-thach-thang-hai-chau-da-nang-3-3ti-id22629114,"HIẾM_Bán nhà 71m2 K/ Nguyễn Du,Thạch Thang,Hải Châu,Đà Nẵng_3.3Ti","Quận Hải Châu, Đà Nẵng",71 m2,2 PN,2 WC,3 tỷ 299 triệu,Hôm qua
https://mogi.vn/quan-ngu-hanh-son/mua-nha-mat-tien-pho/ban-khach-san-8-tang-x180m2-khu-an-thuong-my-an-ngu-hanh-son-tp-da-na-id22631799,"Bán khách sạn 8 Tầng x180m2 Khu An Thượng,Mỹ An,Ngũ Hành Sơn. Tp Đà Nẵ","Quận Ngũ Hành Sơn, Đà Nẵng",180 m2,20 PN,20 WC,40 tỷ,Hôm qua
https://mogi.vn/quan-ngu-hanh-son/mua-dat-tho-cu/ban-dat-262m2-2-mat-kiet-oto-le-van-huu-my-an-ngu-hanh-son-gia-45tr-id22630701,"Bán Đất 262m2_ 2 mặt Kiệt oto Lê Văn Hưu,Mỹ An. Ngũ hành Sơn. Giá 45tr","Quận Ngũ Hành Sơn, Đà Nẵng",262 m2,0 PN,0 WC,11 tỷ 700 triệu,Hôm qua
https://mogi.vn/quan-ngu-hanh-son/mua-nha-mat-tien-pho/ban-khach-san-8-tang-x180m2-khu-an-thuong-my-an-ngu-hanh-son-da-nang-id22631800,"Bán khách sạn 8 Tầng x180m2 Khu An Thượng,Mỹ An,Ngũ Hành Sơn.Đà Nẵng","Quận Ngũ Hành Sơn, Đà Nẵng",180 m2,20 PN,20 WC,41 tỷ,Hôm qua
https://mogi.vn/quan-son-tra/mua-dat-tho-cu/hiem-ban-dat-102m-duong-le-duc-tho-33m-tho-quang-dau-tuyen-son-tra-d-id22542627,"HIẾM_Bán đất 102m đường Lê Đức Thọ(33M),Thọ Quang,đầu tuyến Sơn Trà, Đ","Quận Sơn Trà, Đà Nẵng",102 m2,0 PN,0 WC,8 tỷ 199 triệu,Hôm qua
https://mogi.vn/quan-ngu-hanh-son/mua-dat-tho-cu/hiem-ban-dat-bien-120-7m2-2-mat-tien-duong-7m5-tran-van-thanh-nh-son-id22657912,"HIẾM_Bán đất biển 120.7m2_2 Mặt Tiền Đường 7m5 Trần Văn Thành,NH Sơn","Quận Ngũ Hành Sơn, Đà Nẵng",120 m2,0 PN,0 WC,10 tỷ 600 triệu,Hôm qua
https://mogi.vn/quan-thanh-khe/mua-nha-hem-ngo/sieu-hot-nha-moi-2-5-tang-gan-bien-nguyen-tat-thanh-chi-1-79-ty-id22658606,"Siêu hot Nhà mới 2,5 tầng gần biển Nguyễn Tất Thành chỉ 1,79 tỷ","Quận Thanh Khê, Đà Nẵng",28 m2,2 PN,2 WC,1 tỷ 790 triệu,Hôm qua
https://mogi.vn/quan-hai-chau/mua-nha-biet-thu-lien-ke/ban-villa-moi-100-khu-casamia-calm-hoi-an-3pn-co-ho-boi-9-9-ty-id22645347,"Bán villa mới 100% khu Casamia Calm Hội An 3pn có hồ bơi 9,9 tỷ","Quận Hải Châu, Đà Nẵng",150 m2,3 PN,4 WC,9 tỷ 900 triệu,Hôm qua
https://mogi.vn/quan-thanh-khe/mua-nha-hem-ngo/nha-2pn-pham-van-nghi-55m2-dat-gia-chi-2-19-ty-gan-san-bay-trung-tam-id22649303,"Nhà 2pn Phạm Văn Nghị 55m2 đất giá chỉ 2,19 tỷ gần sân bay trung tâm","Quận Thanh Khê, Đà Nẵng",55 m2,3 PN,1 WC,2 tỷ 190 triệu,Hôm qua
https://mogi.vn/quan-hai-chau/mua-nha-hem-ngo/doi-lung-nha-mat-tien-nguyen-hoang-2-tang-23m2-chi-1-95-ty-id22645355,"Đối lưng nhà mặt tiền Nguyễn Hoàng 2 tầng 23m2 chỉ 1,95 tỷ","Quận Hải Châu, Đà Nẵng",23 m2,2 PN,1 WC,1 tỷ 950 triệu,Hôm qua
https://mogi.vn/quan-thanh-khe/mua-nha-hem-ngo/ban-nha-kiet-le-duan-71m2-2-tang-gia-4-15-ty-dang-cho-thue-13tr-id22650998,"Bán nhà kiệt Lê Duẩn 71m2 * 2 tầng giá 4,15 tỷ đang cho thuê 13tr","Quận Thanh Khê, Đà Nẵng",71 m2,4 PN,4 WC,4 tỷ 150 triệu,Hôm qua
https://mogi.vn/quan-thanh-khe/mua-nha-hem-ngo/nha-dep-le-duan-3-tang-38m2-gia-2-65-ty-vao-o-ngay-khu-trung-tam-id22654055,"Nhà đẹp Lê Duẩn 3 tầng 38m2 giá 2,65 tỷ vào ở ngay khu trung tâm","Quận Thanh Khê, Đà Nẵng",38 m2,3 PN,3 WC,2 tỷ 650 triệu,Hôm qua
https://mogi.vn/quan-hai-chau/mua-nha-hem-ngo/sieu-hiem-ban-nha-3-tang-k-ly-tu-trong-thach-thang-hai-chau-4-15-id22631797,"SIÊU HIẾM_Bán nhà 3 tầng K/ Lý Tự Trọng, Thạch Thang, Hải Châu_4.15","Quận Hải Châu, Đà Nẵng",52 m2,3 PN,3 WC,4 tỷ 150 triệu,Hôm qua
https://mogi.vn/quan-ngu-hanh-son/mua-nha-mat-tien-pho/h0t-ban-nha-2-tang-duong-vo-nhu-hung-my-an-ngu-hanh-son-da-nang-5-9-id22621178,"H0T_Bán nhà 2 tầng đường Võ Như Hưng, Mỹ An, Ngũ Hành Sơn,Đà Nẵng _5.9","Quận Ngũ Hành Sơn, Đà Nẵng",80 m2,3 PN,2 WC,5 tỷ 900 triệu,Hôm qua
